x,y,Oxygen,quiescenceThreshold,hypoxiaThreshold,PointType
-1.20782,0.543082,0.22909950529687578,0.5,0.3,Necrotic
-0.243635,-0.459221,0.22964152204678018,0.5,0.3,Necrotic
1.23618,-0.907372,0.22932670147236006,0.5,0.3,Necrotic
12.1455,-2.38026,0.33224832978413005,0.5,0.3,Viable tumour cell
0.436099,0.055209,0.22874527711207393,0.5,0.3,Necrotic
8.04688,12.1651,0.4490914571185951,0.5,0.3,Viable tumour cell
-7.97373,7.12144,0.27934250402167565,0.5,0.3,Viable tumour cell
-0.327045,-0.668207,0.2299027969445075,0.5,0.3,Necrotic
3.23336,3.14156,0.22396280215706055,0.5,0.3,Necrotic
1.16451,-0.959908,0.22942488777341033,0.5,0.3,Necrotic
-1.55123,-0.405573,0.2301551049722304,0.5,0.3,Necrotic
0.163839,-0.0955278,0.22905199044722682,0.5,0.3,Necrotic
1.98281,-14.2719,0.48632347310587304,0.5,0.3,Viable tumour cell
-10.1069,15.1681,0.8203871401313537,0.5,0.3,Viable tumour cell
1.21743,-9.65439,0.27343342067216575,0.5,0.3,Viable tumour cell
-1.32927,-4.97248,0.23620740472935065,0.5,0.3,Necrotic
0.946098,-0.0805721,0.22860984444272997,0.5,0.3,Necrotic
2.41622,7.32635,0.22260188840010411,0.5,0.3,Viable tumour cell
0.0339908,0.0380964,0.22898201522996958,0.5,0.3,Necrotic
0.101602,-0.12024,0.22911221272366478,0.5,0.3,Necrotic
-6.25121,-15.5632,0.7659705592295832,0.5,0.3,Viable tumour cell
1.98455,-0.724947,0.2287012584927839,0.5,0.3,Necrotic
-10.837,11.0566,0.5384462936632404,0.5,0.3,Viable tumour cell
-4.64082,-15.2426,0.6607932610361738,0.5,0.3,Viable tumour cell
12.3654,9.13579,0.5553920724994159,0.5,0.3,Viable tumour cell
-1.60843,0.306268,0.2294685424097731,0.5,0.3,Necrotic
1.54571,4.99964,0.22283718393969626,0.5,0.3,Necrotic
-0.251135,4.86362,0.2250052786236643,0.5,0.3,Necrotic
1.54723,1.7665,0.22635684694133928,0.5,0.3,Necrotic
1.16568,0.434753,0.22795220640475833,0.5,0.3,Necrotic
-5.5548,-1.85014,0.23146893837899093,0.5,0.3,Necrotic
8.00393,5.30903,0.2522492545981054,0.5,0.3,Viable tumour cell
0.76322,0.308082,0.22830887466743613,0.5,0.3,Necrotic
-1.03215,0.274242,0.22928512048290617,0.5,0.3,Necrotic
-8.74018,-1.20092,0.24675717890542273,0.5,0.3,Viable tumour cell
-5.82868,-7.81143,0.28100771003079794,0.5,0.3,Viable tumour cell
-0.00562037,-1.13313,0.2302549780421257,0.5,0.3,Necrotic
0.065048,-0.0520793,0.229059411665207,0.5,0.3,Necrotic
0.152264,0.187796,0.22876624768303488,0.5,0.3,Necrotic
9.4574,-2.94446,0.25697747276261285,0.5,0.3,Viable tumour cell
0.505564,0.058041,0.22870454104075705,0.5,0.3,Necrotic
2.14205,-6.02915,0.23375224056125732,0.5,0.3,Necrotic
-8.44783,2.97128,0.24343403855804663,0.5,0.3,Viable tumour cell
-1.05402,3.12659,0.22697887803589914,0.5,0.3,Necrotic
-15.1469,3.49257,0.5337076160172919,0.5,0.3,Viable tumour cell
-0.127122,-1.17693,0.23036077850363784,0.5,0.3,Necrotic
