x,y,Oxygen,quiescenceThreshold,hypoxiaThreshold,PointType
0.680018,-0.335011,0.21313379969218604,0.5,0.3,Necrotic
0.0025391,0.383656,0.21133658383055426,0.5,0.3,Necrotic
-3.87181,-1.06196,0.22405424680666203,0.5,0.3,Necrotic
7.66895,-0.314533,0.2612692154900414,0.5,0.3,Necrotic
2.40551,5.26545,0.2361325326260858,0.5,0.3,Necrotic
-0.319604,0.324385,0.21110205091422973,0.5,0.3,Necrotic
0.295661,-0.256342,0.21233423960784295,0.5,0.3,Necrotic
-0.214686,0.0488451,0.2113389092123963,0.5,0.3,Necrotic
-1.932,-2.91723,0.22163931704924555,0.5,0.3,Necrotic
-1.52071,9.64304,0.2792609060635107,0.5,0.3,Viable tumour cell
5.90435,-7.72356,0.2788774512245894,0.5,0.3,Necrotic
-3.03849,2.89225,0.22815492454634825,0.5,0.3,Necrotic
0.827517,0.0468773,0.2130758511880637,0.5,0.3,Necrotic
3.99575,1.52908,0.22851555839729687,0.5,0.3,Necrotic
0.744405,0.391467,0.21274488877336184,0.5,0.3,Necrotic
0.0848658,-1.51433,0.2137133636169059,0.5,0.3,Necrotic
-0.23187,0.0155246,0.21134390083413285,0.5,0.3,Necrotic
-13.9843,11.3351,0.8307480798989183,0.5,0.3,Viable tumour cell
0.817106,-0.331181,0.21338919184435667,0.5,0.3,Necrotic
0.0686487,-0.415132,0.21226152537793017,0.5,0.3,Necrotic
-1.45096,18.7382,0.8241901626710366,0.5,0.3,Viable tumour cell
4.98836,0.132992,0.2359862132980262,0.5,0.3,Necrotic
-1.83901,-2.63929,0.22030672750755134,0.5,0.3,Necrotic
-1.52383,5.17783,0.23661040811275647,0.5,0.3,Necrotic
0.311561,-0.411233,0.2125687330127598,0.5,0.3,Necrotic
0.784654,-8.04861,0.26114613916610496,0.5,0.3,Necrotic
0.610393,-0.0368327,0.21272375648683273,0.5,0.3,Necrotic
-5.20772,2.66196,0.24183037481959838,0.5,0.3,Necrotic
-5.00916,8.89749,0.2875020526286867,0.5,0.3,Viable tumour cell
-5.01112,-1.86932,0.23269033513312276,0.5,0.3,Necrotic
0.61199,14.2751,0.42279472993055944,0.5,0.3,Viable tumour cell
-3.4151,-1.27913,0.2218641103706286,0.5,0.3,Necrotic
-3.22727,-0.352452,0.219494972046607,0.5,0.3,Necrotic
6.9181,12.782,0.4353712873199299,0.5,0.3,Viable tumour cell
-1.62164,3.33222,0.22261598089860268,0.5,0.3,Necrotic
-1.65095,-2.39973,0.21879937925332218,0.5,0.3,Necrotic
-6.21318,11.3775,0.3602634698257894,0.5,0.3,Viable tumour cell
-0.257603,0.198394,0.21122140262282096,0.5,0.3,Necrotic
14.5638,-8.52653,0.5796064542476831,0.5,0.3,Viable tumour cell
7.27993,-1.80806,0.2607279078522254,0.5,0.3,Necrotic
-2.65167,-0.794808,0.21676771493391736,0.5,0.3,Necrotic
-1.85278,-2.45918,0.21968930119927607,0.5,0.3,Necrotic
0.595424,-0.20918,0.21285646206905195,0.5,0.3,Necrotic
0.103925,-0.893867,0.21304130548748515,0.5,0.3,Necrotic
-9.65043,-7.22265,0.338533637975316,0.5,0.3,Viable tumour cell
0.392932,-0.265393,0.21252644488378228,0.5,0.3,Necrotic
-1.21439,-10.0035,0.27689308576016786,0.5,0.3,Viable tumour cell
0.61038,-0.204905,0.21288072015685622,0.5,0.3,Necrotic
12.7824,5.31447,0.3607344265179181,0.5,0.3,Viable tumour cell
0.0612459,-1.16349,0.21331875764770913,0.5,0.3,Necrotic
1.11286,-5.09516,0.23614621721998863,0.5,0.3,Necrotic
6.1629,2.48722,0.24599546595956623,0.5,0.3,Necrotic
0.286157,-0.426585,0.21255952773207948,0.5,0.3,Necrotic
6.85665,-8.08686,0.28759297709837306,0.5,0.3,Viable tumour cell
5.37382,-2.52446,0.24563079869745807,0.5,0.3,Necrotic
0.46493,-0.00464413,0.21241889873768577,0.5,0.3,Necrotic
2.97351,-6.35813,0.25578809888527904,0.5,0.3,Necrotic
0.301942,0.0372778,0.21208784630212704,0.5,0.3,Necrotic
0.401828,0.491016,0.2120449512921777,0.5,0.3,Necrotic
-16.2877,-3.15208,0.6588082724296564,0.5,0.3,Viable tumour cell
5.02453,3.27251,0.2384761874311808,0.5,0.3,Necrotic
-1.56929,4.49395,0.23142517122034745,0.5,0.3,Necrotic
-7.25826,12.2683,0.42266596511482907,0.5,0.3,Viable tumour cell
-0.0709474,-0.0506068,0.21155777884225513,0.5,0.3,Necrotic
-3.60677,2.42157,0.22877344132882205,0.5,0.3,Necrotic
-7.86564,1.84829,0.25852096836078875,0.5,0.3,Necrotic
0.057676,0.0531562,0.2116183939856221,0.5,0.3,Necrotic
0.140483,-0.422994,0.21236620143640064,0.5,0.3,Necrotic
-1.88933,-9.39795,0.26947157634425484,0.5,0.3,Necrotic
0.324842,-0.342574,0.2124805449368845,0.5,0.3,Necrotic
-16.7292,2.26908,0.6679689527133168,0.5,0.3,Viable tumour cell
2.76599,-4.79275,0.2421301590738394,0.5,0.3,Necrotic
6.59448,-0.831301,0.2522905689302423,0.5,0.3,Necrotic
-4.94704,3.7125,0.2469950193975399,0.5,0.3,Necrotic
4.02033,0.335379,0.2290458548485011,0.5,0.3,Necrotic
0.286914,-0.419678,0.21254990891524844,0.5,0.3,Necrotic
-11.5994,-1.25246,0.3263486837592231,0.5,0.3,Viable tumour cell
0.41633,-0.349831,0.2126495165120645,0.5,0.3,Necrotic
-10.4559,-9.25796,0.43142712541564027,0.5,0.3,Viable tumour cell
4.25014,-0.491193,0.23107079949036446,0.5,0.3,Necrotic
3.28461,5.48133,0.24150767457304445,0.5,0.3,Necrotic
-1.79225,-3.07735,0.2218061211448378,0.5,0.3,Necrotic
4.11393,0.226382,0.2297222109165357,0.5,0.3,Necrotic
-0.0272218,-0.114065,0.21168971255886698,0.5,0.3,Necrotic
0.387894,-15.6211,0.5150118052191943,0.5,0.3,Viable tumour cell
-1.40409,3.63918,0.2236977711897225,0.5,0.3,Necrotic
-4.13345,-17.7342,0.7431830929480201,0.5,0.3,Viable tumour cell
3.01467,0.276031,0.22240134915976661,0.5,0.3,Necrotic
18.2265,-2.58263,0.6588766957668934,0.5,0.3,Viable tumour cell
1.39046,0.0933833,0.21478222171886152,0.5,0.3,Necrotic
-0.456858,-0.215951,0.21150594250842242,0.5,0.3,Necrotic
-2.18095,-2.74374,0.22172914026462318,0.5,0.3,Necrotic
0.221573,-0.50125,0.2125907817188454,0.5,0.3,Necrotic
6.44744,0.697613,0.24832812480116495,0.5,0.3,Necrotic
2.52288,-4.11296,0.23530798144051107,0.5,0.3,Necrotic
0.351795,-0.448152,0.21267723426757204,0.5,0.3,Necrotic
4.80787,0.385561,0.23454437980051676,0.5,0.3,Necrotic
0.291518,-0.259845,0.21232968404124447,0.5,0.3,Necrotic
1.97182,-15.0142,0.47352943786250995,0.5,0.3,Viable tumour cell
0.89182,-16.5555,0.6052123381965441,0.5,0.3,Viable tumour cell
0.118605,-0.511173,0.21247324446882188,0.5,0.3,Necrotic
0.588547,-0.270288,0.212900548279068,0.5,0.3,Necrotic
-0.988234,4.2684,0.22617181054663266,0.5,0.3,Necrotic
0.720449,-0.282595,0.21316121705266972,0.5,0.3,Necrotic
-0.0472618,-0.279144,0.21192707511258696,0.5,0.3,Necrotic
0.296772,-1.06157,0.2135166352374978,0.5,0.3,Necrotic
