x,y,Oxygen,quiescenceThreshold,hypoxiaThreshold,PointType
0.000814713,0.16631,0.2912341602932845,0.5,0.3,Necrotic
-0.101708,-0.0436749,0.2911859186810809,0.5,0.3,Necrotic
-0.519093,0.638844,0.2910238265746867,0.5,0.3,Necrotic
10.6205,-1.9252,0.3139864169331499,0.5,0.3,Viable tumour cell
6.87899,11.7023,0.40696452283871953,0.5,0.3,Viable tumour cell
-6.66579,6.18012,0.2926027768750394,0.5,0.3,Viable tumour cell
0.719079,0.518719,0.2915373790238301,0.5,0.3,Necrotic
-0.229229,0.0997561,0.29113565647982487,0.5,0.3,Necrotic
0.59353,0.166698,0.2914876974160583,0.5,0.3,Necrotic
1.738,-12.8292,0.39509776295851795,0.5,0.3,Viable tumour cell
-9.87992,15.1689,0.8092580741757476,0.5,0.3,Viable tumour cell
0.854681,-7.86353,0.29516066203054225,0.5,0.3,Necrotic
-0.922598,-3.14953,0.290591842705002,0.5,0.3,Necrotic
0.469454,0.415549,0.29143032617076275,0.5,0.3,Necrotic
1.70962,5.19069,0.2927981736974796,0.5,0.3,Necrotic
0.371661,-0.0143562,0.29139408186578963,0.5,0.3,Necrotic
-5.55955,-14.4827,0.6044970465045343,0.5,0.3,Viable tumour cell
-0.466907,2.36377,0.2910598940131995,0.5,0.3,Necrotic
-9.82677,9.85458,0.4442337365386345,0.5,0.3,Viable tumour cell
-4.48438,-15.785,0.6927187475581569,0.5,0.3,Viable tumour cell
10.7342,7.31899,0.3945595539449794,0.5,0.3,Viable tumour cell
0.0319373,0.426596,0.2912496739502763,0.5,0.3,Necrotic
2.14519,1.72574,0.29206696282257094,0.5,0.3,Necrotic
0.0966128,3.14275,0.2913570401626471,0.5,0.3,Necrotic
-1.21049,1.3956,0.29074560346062733,0.5,0.3,Necrotic
0.122447,-0.282418,0.2912885787436688,0.5,0.3,Necrotic
-3.66939,-0.649287,0.289769953111362,0.5,0.3,Necrotic
5.8372,3.78445,0.2911017618910198,0.5,0.3,Necrotic
0.44607,-0.274118,0.2914353541687613,0.5,0.3,Necrotic
-6.0414,-0.677005,0.28940749483888106,0.5,0.3,Necrotic
-4.59549,-5.79441,0.2871728978707019,0.5,0.3,Viable tumour cell
-0.0836439,0.247241,0.2912000385005524,0.5,0.3,Necrotic
9.68242,13.1614,0.6056906061140465,0.5,0.3,Viable tumour cell
7.62363,-2.05889,0.2964601019120279,0.5,0.3,Necrotic
