x,y,Oxygen,quiescenceThreshold,hypoxiaThreshold,PointType
-4.90193,-3.12028,0.26748811678406276,0.5,0.3,Necrotic
0.405354,-0.251375,0.2657353744922058,0.5,0.3,Necrotic
-11.2203,-12.0068,0.6357651899005271,0.5,0.3,Viable tumour cell
-2.0145,7.19171,0.2677657246320407,0.5,0.3,Viable tumour cell
3.77258,13.5294,0.5141030901334133,0.5,0.3,Viable tumour cell
-2.27102,-0.443087,0.26527448821569166,0.5,0.3,Necrotic
-4.66929,-7.03611,0.27408894350814716,0.5,0.3,Viable tumour cell
0.381372,0.371179,0.2654160553518926,0.5,0.3,Necrotic
0.561504,-0.595194,0.2659051789613874,0.5,0.3,Necrotic
-0.416956,-15.2844,0.6179691284888427,0.5,0.3,Viable tumour cell
-5.64459,13.7548,0.5402847625988996,0.5,0.3,Viable tumour cell
-3.28142,-2.47347,0.26619615783362527,0.5,0.3,Necrotic
0.213886,-3.81391,0.26700203686869134,0.5,0.3,Necrotic
3.53286,-6.86199,0.278496968495093,0.5,0.3,Necrotic
-0.108423,-0.194531,0.26562135563344147,0.5,0.3,Necrotic
7.53414,12.1156,0.5386542132028318,0.5,0.3,Viable tumour cell
-12.3179,10.1028,0.6375707268793668,0.5,0.3,Viable tumour cell
5.21622,-4.77951,0.26904663170197357,0.5,0.3,Viable tumour cell
-3.04484,-5.03251,0.2676817277754169,0.5,0.3,Necrotic
0.26004,-1.38889,0.26614303815634544,0.5,0.3,Necrotic
-0.975514,-6.85913,0.26749664457372274,0.5,0.3,Necrotic
-4.20272,-6.22202,0.2701210599788317,0.5,0.3,Viable tumour cell
0.0637232,0.96053,0.2651455054931466,0.5,0.3,Necrotic
-0.818534,0.439298,0.2653306630094096,0.5,0.3,Necrotic
-1.59529,3.14786,0.26460768689073333,0.5,0.3,Necrotic
4.12357,-8.70612,0.3071889481133745,0.5,0.3,Viable tumour cell
-12.3274,6.85363,0.48282775844214165,0.5,0.3,Viable tumour cell
-0.907836,2.19429,0.2647447400918432,0.5,0.3,Necrotic
-0.586042,0.834083,0.26520892945050345,0.5,0.3,Necrotic
0.0963699,0.543065,0.26532990216744906,0.5,0.3,Necrotic
-9.37627,2.37665,0.29462346488065067,0.5,0.3,Viable tumour cell
2.67287,0.32321,0.26615239254228257,0.5,0.3,Necrotic
0.0973126,0.0237624,0.26556690197370403,0.5,0.3,Necrotic
5.09326,-11.6385,0.42857126691052383,0.5,0.3,Viable tumour cell
6.40141,10.7639,0.4162649271205616,0.5,0.3,Viable tumour cell
0.344318,0.0271619,0.26560318117465465,0.5,0.3,Necrotic
3.00576,-6.3887,0.27451014934564966,0.5,0.3,Necrotic
5.90771,-0.980719,0.2725434935026254,0.5,0.3,Necrotic
0.415535,-1.07711,0.2660606536818142,0.5,0.3,Necrotic
-2.75076,1.34623,0.26520677982023505,0.5,0.3,Necrotic
-12.7494,7.33889,0.5276795905857372,0.5,0.3,Viable tumour cell
6.16106,12.7996,0.5356325577880517,0.5,0.3,Viable tumour cell
0.0438128,-0.111504,0.2656168169250717,0.5,0.3,Necrotic
8.88506,-13.403,0.692154377547302,0.5,0.3,Viable tumour cell
-2.87669,0.547198,0.2651187927008789,0.5,0.3,Necrotic
0.0580133,-5.40521,0.2681175773545652,0.5,0.3,Necrotic
-0.128066,-0.143602,0.26559827842187816,0.5,0.3,Necrotic
1.87463,4.97153,0.2638446024945782,0.5,0.3,Necrotic
0.76248,5.82092,0.2626602905307238,0.5,0.3,Necrotic
1.90013,8.2345,0.2733174076765177,0.5,0.3,Viable tumour cell
-9.46797,-14.8965,0.7724268726847763,0.5,0.3,Viable tumour cell
-0.0132831,0.718754,0.2652497898608214,0.5,0.3,Necrotic
0.0430387,-3.27928,0.2667790546199877,0.5,0.3,Necrotic
0.819584,0.49704,0.2654132423856931,0.5,0.3,Necrotic
0.63215,0.291249,0.2654996318373174,0.5,0.3,Necrotic
13.7103,-5.23218,0.5681026910419807,0.5,0.3,Viable tumour cell
2.06314,0.191847,0.2659279595498337,0.5,0.3,Necrotic
-5.10506,4.34506,0.26929081279163386,0.5,0.3,Necrotic
-1.99646,-1.78463,0.26594019858570933,0.5,0.3,Necrotic
1.42657,-13.9434,0.5122642333416775,0.5,0.3,Viable tumour cell
0.0838946,0.0335678,0.2655593308275143,0.5,0.3,Necrotic
-0.0854413,-0.670523,0.2658090520450713,0.5,0.3,Necrotic
-0.169448,-10.9748,0.34341434669224213,0.5,0.3,Viable tumour cell
-13.2266,0.264473,0.42959372711868193,0.5,0.3,Viable tumour cell
5.76659,-6.63833,0.2891583110114067,0.5,0.3,Viable tumour cell
8.69414,7.20895,0.3536618905925663,0.5,0.3,Viable tumour cell
9.09053,-9.29163,0.4487342400987622,0.5,0.3,Viable tumour cell
-0.0562215,-0.161874,0.26561785063880583,0.5,0.3,Necrotic
8.44572,11.7295,0.5520617851824504,0.5,0.3,Viable tumour cell
-4.05446,-2.3413,0.26612716345350307,0.5,0.3,Necrotic
0.135024,0.604091,0.26530438474320217,0.5,0.3,Necrotic
-0.253433,0.44043,0.26537610791219196,0.5,0.3,Necrotic
0.00931242,-0.107161,0.2656083635553614,0.5,0.3,Necrotic
-16.707,-4.47539,0.8187846086896311,0.5,0.3,Viable tumour cell
-0.806309,0.471056,0.26532295634239567,0.5,0.3,Necrotic
0.106828,0.0360485,0.265561485479776,0.5,0.3,Necrotic
1.79363,0.00627824,0.265968650237579,0.5,0.3,Necrotic
10.0892,11.2443,0.602598886010777,0.5,0.3,Viable tumour cell
5.34211,-12.3744,0.47647199548221186,0.5,0.3,Viable tumour cell
3.49816,2.14789,0.2646129118103341,0.5,0.3,Necrotic
0.78919,-0.342943,0.2658338820346984,0.5,0.3,Necrotic
-1.32175,-0.059868,0.26540313651191483,0.5,0.3,Necrotic
6.05014,-15.0191,0.7164110600896771,0.5,0.3,Viable tumour cell
-0.351131,-0.0115142,0.2655236309964314,0.5,0.3,Necrotic
3.34231,-0.303038,0.26709699463878644,0.5,0.3,Necrotic
-2.89741,-2.49651,0.2662917633620088,0.5,0.3,Necrotic
2.83196,-1.05558,0.266972833928973,0.5,0.3,Necrotic
0.38446,-0.40793,0.265798131120024,0.5,0.3,Necrotic
16.5518,1.04557,0.7279801393030607,0.5,0.3,Viable tumour cell
4.12786,-1.32038,0.26821812371186293,0.5,0.3,Necrotic
-3.27776,0.928928,0.26512659184341825,0.5,0.3,Necrotic
8.47758,9.16081,0.4107232533545997,0.5,0.3,Viable tumour cell
2.82125,-12.6555,0.44218538997205975,0.5,0.3,Viable tumour cell
-0.104508,-0.0280536,0.2655612145733951,0.5,0.3,Necrotic
-0.112001,0.0802735,0.2655271918204005,0.5,0.3,Necrotic
-0.0814768,-0.749803,0.26584033795774,0.5,0.3,Necrotic
-0.161292,0.109597,0.2655122301024629,0.5,0.3,Necrotic
2.59926,4.31227,0.2641524175180024,0.5,0.3,Necrotic
0.158186,0.0985249,0.2655344010587656,0.5,0.3,Necrotic
-15.6135,-0.17441,0.61995257864537,0.5,0.3,Viable tumour cell
-4.40167,10.0335,0.3263177097164899,0.5,0.3,Viable tumour cell
-0.0946606,-0.0817222,0.26558079905426907,0.5,0.3,Necrotic
2.87012,7.83891,0.27513418625116803,0.5,0.3,Viable tumour cell
3.15377,1.6048,0.2651232774566921,0.5,0.3,Necrotic
-15.0137,8.34823,0.7934665808692798,0.5,0.3,Viable tumour cell
8.75774,6.3195,0.3354212833778447,0.5,0.3,Viable tumour cell
-0.115168,-0.181728,0.2656152393142176,0.5,0.3,Necrotic
0.608889,4.25938,0.26351814551746156,0.5,0.3,Necrotic
0.0854178,0.0464721,0.26555233217812435,0.5,0.3,Necrotic
0.0424361,0.416639,0.26538363190289005,0.5,0.3,Necrotic
0.273194,-0.187529,0.2656876320241094,0.5,0.3,Necrotic
-3.84341,-12.8042,0.4550613976257308,0.5,0.3,Viable tumour cell
7.32162,-2.7566,0.27836323513140493,0.5,0.3,Viable tumour cell
10.4887,9.05751,0.4946854330332817,0.5,0.3,Viable tumour cell
0.172179,0.471975,0.2653636289070372,0.5,0.3,Necrotic
0.242675,-0.104719,0.26564749035111607,0.5,0.3,Necrotic
12.5773,-0.804515,0.4105960067315313,0.5,0.3,Viable tumour cell
0.348818,0.351777,0.265422258973147,0.5,0.3,Necrotic
1.10938,0.0702815,0.26571515850460437,0.5,0.3,Necrotic
10.9226,-0.361133,0.33959223984129916,0.5,0.3,Viable tumour cell
-0.975781,4.21072,0.26401284991271307,0.5,0.3,Necrotic
0.0579143,1.36961,0.26494828579810226,0.5,0.3,Necrotic
-13.1773,-3.0834,0.44804619194150663,0.5,0.3,Viable tumour cell
0.0249531,-0.088676,0.26560430248594163,0.5,0.3,Necrotic
0.111315,0.0722426,0.2655418888599372,0.5,0.3,Necrotic
6.49244,-8.49231,0.33904599428693893,0.5,0.3,Viable tumour cell
3.85956,2.53436,0.2643902076891672,0.5,0.3,Necrotic
-7.85961,8.88671,0.36256568688159324,0.5,0.3,Viable tumour cell
-2.19764,-1.69773,0.26580949641077034,0.5,0.3,Necrotic
0.259241,-0.00231209,0.265606244875392,0.5,0.3,Necrotic
9.86207,-2.84323,0.3206263899988222,0.5,0.3,Viable tumour cell
-0.115873,-0.730961,0.26582707249683923,0.5,0.3,Necrotic
0.715069,1.34116,0.26497209201129884,0.5,0.3,Necrotic
1.80235,0.540647,0.26561776818902,0.5,0.3,Necrotic
-3.42473,6.62951,0.2711831964105357,0.5,0.3,Necrotic
-17.4093,0.999101,0.80908958698705,0.5,0.3,Viable tumour cell
-12.0924,4.22562,0.4013548245995143,0.5,0.3,Viable tumour cell
0.516393,-0.765495,0.26596203813062763,0.5,0.3,Necrotic
5.48602,-2.22515,0.2703004340378592,0.5,0.3,Necrotic
0.73256,-0.854882,0.26603899953475624,0.5,0.3,Necrotic
-0.507861,-4.84467,0.26725745185986266,0.5,0.3,Necrotic
-2.61368,-0.0514961,0.2650633782631481,0.5,0.3,Necrotic
-1.56576,-1.12923,0.26571095774275716,0.5,0.3,Necrotic
5.96794,1.33055,0.26877031943382823,0.5,0.3,Necrotic
0.341528,-0.103051,0.2656620588768037,0.5,0.3,Necrotic
-0.0401834,-0.0849075,0.26559094320484444,0.5,0.3,Necrotic
-0.0556282,-0.132591,0.2656066533616924,0.5,0.3,Necrotic
