x,y,Oxygen,quiescenceThreshold,hypoxiaThreshold,PointType
0.521083,1.22473,0.27279971596958524,0.5,0.3,Necrotic
-0.452615,0.00702271,0.2736123453361487,0.5,0.3,Necrotic
-0.0446458,-0.0815018,0.2732254260302421,0.5,0.3,Necrotic
-4.35717,-3.34486,0.2759112722455449,0.5,0.3,Necrotic
-0.0257698,0.427686,0.2732518939697125,0.5,0.3,Necrotic
-0.0301367,-0.346489,0.27316558302367255,0.5,0.3,Necrotic
-0.155794,0.578845,0.2733874415693391,0.5,0.3,Necrotic
-1.33046,1.22509,0.2746215223132171,0.5,0.3,Necrotic
-10.41,11.1091,0.5126005031701317,0.5,0.3,Viable tumour cell
8.08086,-2.25261,0.2701260136646403,0.5,0.3,Necrotic
1.63377,-14.2309,0.465653655324473,0.5,0.3,Viable tumour cell
-0.466975,-0.699424,0.27346469737047874,0.5,0.3,Necrotic
-1.2293,-0.437519,0.27423108571173566,0.5,0.3,Necrotic
-0.31846,-0.0507464,0.2734775850439366,0.5,0.3,Necrotic
6.44432,1.53934,0.27064176131751866,0.5,0.3,Necrotic
-8.40951,-14.7535,0.7943276233422214,0.5,0.3,Viable tumour cell
-0.550056,-0.00420643,0.27369827894343146,0.5,0.3,Necrotic
4.96505,7.67099,0.27076068729362546,0.5,0.3,Viable tumour cell
-3.7586,-7.93149,0.2803304206170468,0.5,0.3,Viable tumour cell
0.54541,-0.216322,0.2727512958948631,0.5,0.3,Necrotic
-0.0781982,0.504128,0.27330740573621515,0.5,0.3,Necrotic
1.93024,6.43988,0.26933644418701347,0.5,0.3,Necrotic
3.87512,8.51272,0.27417238831344387,0.5,0.3,Viable tumour cell
0.838101,5.14346,0.27134622890897164,0.5,0.3,Necrotic
-2.63028,-0.914332,0.27551773253163087,0.5,0.3,Necrotic
1.12879,-0.56264,0.27227140258961746,0.5,0.3,Necrotic
-5.94077,-7.38687,0.2951251320457748,0.5,0.3,Viable tumour cell
-0.423723,-0.192965,0.27353669578973405,0.5,0.3,Necrotic
-0.937343,0.113229,0.2740636313927178,0.5,0.3,Necrotic
-9.47181,0.0599561,0.29183003535239704,0.5,0.3,Viable tumour cell
18.886,2.0246,0.8318484608268113,0.5,0.3,Viable tumour cell
-8.70554,-9.63556,0.43064962898041725,0.5,0.3,Viable tumour cell
-12.6949,-1.76791,0.39342242725085697,0.5,0.3,Viable tumour cell
-7.26294,-14.8198,0.7339630211124988,0.5,0.3,Viable tumour cell
-9.2473,2.39691,0.29304917642063233,0.5,0.3,Viable tumour cell
-0.0875534,-0.188014,0.2732418475349897,0.5,0.3,Necrotic
-0.574349,-0.371496,0.2736275786321719,0.5,0.3,Necrotic
-1.18714,0.883815,0.27441897845028035,0.5,0.3,Necrotic
-0.184384,0.631211,0.2734183034862683,0.5,0.3,Necrotic
8.40149,-2.85345,0.2707866678878741,0.5,0.3,Necrotic
-0.21509,0.064683,0.2734056050918736,0.5,0.3,Necrotic
-1.62363,-2.63237,0.2736745121701816,0.5,0.3,Necrotic
-0.847777,-0.804184,0.27376516896323455,0.5,0.3,Necrotic
-0.497296,-0.0146545,0.2736480414471454,0.5,0.3,Necrotic
-3.98841,3.45314,0.2782644036893511,0.5,0.3,Necrotic
5.15657,2.14185,0.27002506373204915,0.5,0.3,Necrotic
-2.26897,0.394169,0.2755404214956084,0.5,0.3,Necrotic
0.622019,0.189959,0.2727130168553282,0.5,0.3,Necrotic
12.8909,-3.29923,0.3595524218953419,0.5,0.3,Viable tumour cell
4.60714,-1.48722,0.2706342654471209,0.5,0.3,Necrotic
-1.19327,0.434649,0.27436136176273423,0.5,0.3,Necrotic
-0.186376,0.73429,0.2734259483719674,0.5,0.3,Necrotic
-0.35711,-0.131213,0.2734921654261098,0.5,0.3,Necrotic
10.5694,-11.2731,0.5113198500326264,0.5,0.3,Viable tumour cell
-0.275117,-0.328226,0.2733723202695671,0.5,0.3,Necrotic
-10.6555,1.15069,0.31581604222006016,0.5,0.3,Viable tumour cell
-0.387808,-0.39379,0.2734540789491127,0.5,0.3,Necrotic
5.34398,5.12144,0.26699775117087254,0.5,0.3,Necrotic
-0.323894,-0.285656,0.2734232508520464,0.5,0.3,Necrotic
2.00278,-7.5062,0.26959560584677905,0.5,0.3,Necrotic
-0.711517,0.374131,0.273894122102074,0.5,0.3,Necrotic
-0.669324,-4.04726,0.2721844613633367,0.5,0.3,Necrotic
-1.15973,-4.17538,0.272372942432192,0.5,0.3,Necrotic
5.94079,2.30703,0.26993786052717955,0.5,0.3,Necrotic
-1.93566,1.22403,0.2752870426324227,0.5,0.3,Necrotic
15.2207,0.141286,0.458815516697347,0.5,0.3,Viable tumour cell
-10.2483,-10.7301,0.5720203019544806,0.5,0.3,Viable tumour cell
-0.766451,0.104154,0.2739082527534715,0.5,0.3,Necrotic
16.8864,4.25234,0.6380164429816836,0.5,0.3,Viable tumour cell
-2.06871,-5.27894,0.2719384108755238,0.5,0.3,Necrotic
-1.05167,-0.543817,0.27402137385157377,0.5,0.3,Necrotic
7.82262,-0.808989,0.2714788318128089,0.5,0.3,Necrotic
-0.113102,0.113111,0.2733199414511732,0.5,0.3,Necrotic
-0.325957,-0.0319381,0.27348909168980295,0.5,0.3,Necrotic
0.709303,-1.44518,0.27239397014905853,0.5,0.3,Necrotic
-0.0598693,6.10361,0.2721193277669279,0.5,0.3,Necrotic
0.00231809,0.366083,0.2732213025367508,0.5,0.3,Necrotic
-0.676847,-0.315151,0.27373426549228635,0.5,0.3,Necrotic
-2.69097,6.50534,0.275417730769621,0.5,0.3,Necrotic
-4.34619,-7.40263,0.27879553439547095,0.5,0.3,Viable tumour cell
0.0475412,0.781419,0.2732056645066397,0.5,0.3,Necrotic
2.82617,6.30598,0.267420806183691,0.5,0.3,Necrotic
