x,y,Oxygen,quiescenceThreshold,hypoxiaThreshold,PointType
0.697493,2.8394,0.276253094883088,0.5,0.3,Necrotic
8.59892,4.2867,0.2947914775939492,0.5,0.3,Viable tumour cell
-6.13975,17.6588,0.8451298202541876,0.5,0.3,Viable tumour cell
-0.00652945,0.434527,0.27371656917138515,0.5,0.3,Necrotic
2.78855,-14.3759,0.5133799764992012,0.5,0.3,Viable tumour cell
0.0493185,1.0151,0.2741364354325008,0.5,0.3,Necrotic
10.9938,10.5514,0.5426580905358639,0.5,0.3,Viable tumour cell
-0.353112,0.157239,0.2732451912379222,0.5,0.3,Necrotic
-1.38699,-10.4894,0.3123547826254611,0.5,0.3,Viable tumour cell
0.0547847,0.422872,0.2737586025732647,0.5,0.3,Necrotic
1.62678,17.7281,0.7375242316951724,0.5,0.3,Viable tumour cell
2.33456,-3.57561,0.2764825271318508,0.5,0.3,Necrotic
0.0534619,1.20318,0.2742828970806047,0.5,0.3,Necrotic
0.460294,-0.116587,0.27356926618163946,0.5,0.3,Necrotic
-1.14284,-4.94949,0.2810894024665596,0.5,0.3,Necrotic
0.203492,-0.230671,0.2733178702128728,0.5,0.3,Necrotic
1.64488,2.85676,0.27717085280440845,0.5,0.3,Necrotic
0.294204,0.157424,0.2737459331975455,0.5,0.3,Necrotic
1.0583,2.56053,0.2763369812081903,0.5,0.3,Necrotic
8.83849,-2.05285,0.2872052841719359,0.5,0.3,Viable tumour cell
-0.964244,-0.378796,0.2727213862919249,0.5,0.3,Necrotic
0.856712,-0.362297,0.2735146738656059,0.5,0.3,Necrotic
-0.169705,2.07539,0.27472803903460724,0.5,0.3,Necrotic
-1.64311,-1.92536,0.27330211907386026,0.5,0.3,Necrotic
-0.30052,0.596417,0.2735516272480712,0.5,0.3,Necrotic
0.423754,0.349726,0.27398732416022614,0.5,0.3,Necrotic
-2.54722,-15.3686,0.545926764560886,0.5,0.3,Viable tumour cell
6.36933,-14.711,0.6814853517508985,0.5,0.3,Viable tumour cell
0.541972,-0.235325,0.2734816343438172,0.5,0.3,Necrotic
-0.0971468,-5.02439,0.2810058029503474,0.5,0.3,Necrotic
8.64795,-10.1668,0.45066950293826574,0.5,0.3,Viable tumour cell
1.34111,1.26844,0.2754111772143153,0.5,0.3,Necrotic
0.562981,0.0169844,0.273772191553618,0.5,0.3,Necrotic
-0.0675862,0.634346,0.27378905979029233,0.5,0.3,Necrotic
7.76998,-8.63725,0.3616473602244889,0.5,0.3,Viable tumour cell
0.248258,0.269748,0.2738140396427465,0.5,0.3,Necrotic
7.93839,-3.31974,0.279612257728435,0.5,0.3,Viable tumour cell
-8.51421,-3.47619,0.28962568292574614,0.5,0.3,Necrotic
1.29847,-1.16548,0.2732973191258002,0.5,0.3,Necrotic
-10.6278,-6.18174,0.34167646370701665,0.5,0.3,Viable tumour cell
2.46623,-12.4837,0.39956080300191155,0.5,0.3,Viable tumour cell
0.351886,-4.68003,0.27987906580739075,0.5,0.3,Necrotic
-0.148697,0.308908,0.2735058414349178,0.5,0.3,Necrotic
-13.7304,4.04855,0.42714726923704904,0.5,0.3,Viable tumour cell
0.671485,0.564196,0.2743140905612632,0.5,0.3,Necrotic
11.4066,6.57358,0.4032350047774433,0.5,0.3,Viable tumour cell
0.833816,1.80544,0.2754428382812026,0.5,0.3,Necrotic
-2.7895,6.74305,0.28189436836013365,0.5,0.3,Necrotic
0.521319,1.38167,0.2747906505951018,0.5,0.3,Necrotic
0.672262,0.604158,0.27434968104030666,0.5,0.3,Necrotic
-4.31785,-12.2087,0.3794349791823277,0.5,0.3,Viable tumour cell
0.106224,0.0551922,0.27355121561130835,0.5,0.3,Necrotic
-12.1134,-1.20965,0.3311122600572537,0.5,0.3,Viable tumour cell
7.62469,12.7914,0.52877408451636,0.5,0.3,Viable tumour cell
-1.8878,0.541247,0.2718309696529614,0.5,0.3,Necrotic
0.238839,0.682207,0.2740714691195121,0.5,0.3,Necrotic
-0.805345,-7.90414,0.28799812614548836,0.5,0.3,Necrotic
0.444034,0.237009,0.27389946292009953,0.5,0.3,Necrotic
0.353534,-2.54265,0.273996374252414,0.5,0.3,Necrotic
0.59632,0.0833422,0.2738491537357479,0.5,0.3,Necrotic
-9.39756,-3.1745,0.2941814841842293,0.5,0.3,Viable tumour cell
-2.81718,9.41643,0.2982591557271039,0.5,0.3,Viable tumour cell
-3.13999,-9.92906,0.3057777449466556,0.5,0.3,Viable tumour cell
0.925363,0.65241,0.2745332066991242,0.5,0.3,Necrotic
-4.27929,3.6133,0.27186099588375134,0.5,0.3,Necrotic
0.26751,0.262882,0.2738238338987468,0.5,0.3,Necrotic
-0.425084,-4.46768,0.2794036590914214,0.5,0.3,Necrotic
-0.074919,-0.377684,0.2732722168548528,0.5,0.3,Necrotic
0.404436,0.249999,0.2738888202577246,0.5,0.3,Necrotic
-3.322,-7.12613,0.28665662548197235,0.5,0.3,Necrotic
-1.48335,1.28484,0.27284996664057637,0.5,0.3,Necrotic
-4.38611,1.92775,0.27252541810525766,0.5,0.3,Necrotic
1.49893,0.806493,0.2751050394311062,0.5,0.3,Necrotic
-15.2115,0.730373,0.48109766020839134,0.5,0.3,Viable tumour cell
-0.232609,0.817032,0.27375544527144124,0.5,0.3,Necrotic
7.1831,-2.97027,0.27376135659118267,0.5,0.3,Viable tumour cell
0.566153,-0.0911192,0.27365683181363476,0.5,0.3,Necrotic
0.789884,9.89286,0.30013202878068257,0.5,0.3,Viable tumour cell
-1.5712,-2.22502,0.27389628108993996,0.5,0.3,Necrotic
-4.77278,-0.666433,0.27506421299933503,0.5,0.3,Necrotic
-0.156005,5.414,0.2784339598726786,0.5,0.3,Necrotic
0.352097,0.0243182,0.2736610998875613,0.5,0.3,Necrotic
-0.0754183,0.621604,0.2737737115708878,0.5,0.3,Necrotic
0.394147,1.20321,0.2745537178137492,0.5,0.3,Necrotic
5.95249,4.83813,0.28549027340131183,0.5,0.3,Necrotic
-17.1877,-0.872489,0.6421577588090506,0.5,0.3,Viable tumour cell
9.77333,6.00463,0.33201840311469566,0.5,0.3,Viable tumour cell
1.33853,0.660188,0.27485150970926936,0.5,0.3,Necrotic
-8.84336,6.94248,0.3089572707978458,0.5,0.3,Viable tumour cell
2.02809,-2.12582,0.27449674978348043,0.5,0.3,Necrotic
15.5404,1.56067,0.5901771077697361,0.5,0.3,Viable tumour cell
8.19386,-5.37175,0.3018405744677562,0.5,0.3,Viable tumour cell
-2.38596,2.33859,0.27235936211328443,0.5,0.3,Necrotic
9.61427,-2.55554,0.3011728467683521,0.5,0.3,Viable tumour cell
