x,y,Oxygen,quiescenceThreshold,hypoxiaThreshold,PointType
5.82422,-8.07797,0.2841160340401342,0.5,0.3,Viable tumour cell
0.835922,-2.92972,0.25439752332296034,0.5,0.3,Necrotic
-8.19248,10.9614,0.37463135577763584,0.5,0.3,Viable tumour cell
-16.2947,-2.42144,0.6555033012769136,0.5,0.3,Viable tumour cell
-3.28067,0.567468,0.262843181280376,0.5,0.3,Necrotic
-0.965391,-0.385012,0.25964313784831516,0.5,0.3,Necrotic
-0.159181,-0.0203296,0.2603386303476529,0.5,0.3,Necrotic
-1.10009,-16.0804,0.6415323174974507,0.5,0.3,Viable tumour cell
-0.244985,0.0812206,0.26058370957798505,0.5,0.3,Necrotic
-0.629646,4.12739,0.2689405881467058,0.5,0.3,Necrotic
0.207401,-5.03674,0.2500932034995795,0.5,0.3,Necrotic
-0.751295,0.455221,0.26151593946349005,0.5,0.3,Necrotic
-3.03649,-14.6156,0.5399936599034537,0.5,0.3,Viable tumour cell
-2.2862,-0.109849,0.2606200621275412,0.5,0.3,Necrotic
-0.463118,0.219168,0.26093337921255605,0.5,0.3,Necrotic
0.337604,0.55695,0.26143271090965425,0.5,0.3,Necrotic
-1.43341,-0.133288,0.2603487147638769,0.5,0.3,Necrotic
-2.65066,11.3882,0.30067616270446157,0.5,0.3,Viable tumour cell
-0.0339144,-0.352262,0.25960342570267786,0.5,0.3,Necrotic
2.2423,-16.8888,0.7192207021774885,0.5,0.3,Viable tumour cell
0.983736,0.790327,0.2617641834451876,0.5,0.3,Necrotic
2.00286,-10.774,0.31012642566773596,0.5,0.3,Viable tumour cell
2.40178,-0.762628,0.2586320119523787,0.5,0.3,Necrotic
-0.170135,0.000414791,0.2603887031769076,0.5,0.3,Necrotic
7.86286,-6.3644,0.28958967632081334,0.5,0.3,Viable tumour cell
-0.641862,0.218746,0.2609656002031585,0.5,0.3,Necrotic
-0.236368,0.209989,0.26087072977442766,0.5,0.3,Necrotic
-6.0975,-3.33658,0.25326881237847465,0.5,0.3,Necrotic
-0.272981,-0.300278,0.2597159209472364,0.5,0.3,Necrotic
0.2508,-0.365443,0.25957315219659594,0.5,0.3,Necrotic
0.259399,0.519367,0.26137580641479635,0.5,0.3,Necrotic
2.665,-0.755815,0.2586405441185908,0.5,0.3,Necrotic
0.235584,-10.9468,0.3109597810904545,0.5,0.3,Viable tumour cell
2.89319,0.999755,0.26161902749296245,0.5,0.3,Necrotic
11.5873,-13.0282,0.8268881053141441,0.5,0.3,Viable tumour cell
0.0213018,-0.332907,0.2596444391106957,0.5,0.3,Necrotic
4.037,0.641428,0.2606313751416443,0.5,0.3,Necrotic
0.379101,-0.339307,0.25962192551773,0.5,0.3,Necrotic
-0.777284,0.0537805,0.26062097744848933,0.5,0.3,Necrotic
-16.6852,-6.02345,0.8789710001256765,0.5,0.3,Viable tumour cell
1.04309,1.78748,0.2637166945946116,0.5,0.3,Necrotic
-0.246831,-0.393043,0.2595174819460518,0.5,0.3,Necrotic
4.6186,2.19724,0.26269568399552934,0.5,0.3,Necrotic
2.38114,-1.79209,0.2567458623784346,0.5,0.3,Necrotic
-6.04167,18.3642,0.8432206943956188,0.5,0.3,Viable tumour cell
-9.06295,-6.95048,0.343837334695785,0.5,0.3,Viable tumour cell
-9.11431,5.2079,0.29135597196544316,0.5,0.3,Viable tumour cell
-0.468382,-0.293626,0.2597626868038434,0.5,0.3,Necrotic
-12.488,8.16587,0.45049359347735385,0.5,0.3,Viable tumour cell
1.88281,7.22278,0.2750588867908863,0.5,0.3,Necrotic
0.0344984,-0.496195,0.25929530621535535,0.5,0.3,Necrotic
-0.846444,0.514217,0.26166582948152817,0.5,0.3,Necrotic
-0.150833,0.0811858,0.2605661606680546,0.5,0.3,Necrotic
-0.243133,0.343367,0.26115726724023064,0.5,0.3,Necrotic
-2.29949,-2.53864,0.254030548590669,0.5,0.3,Necrotic
-0.0210705,-0.00523514,0.2603479818238622,0.5,0.3,Necrotic
-1.30495,-10.7469,0.3080579411408976,0.5,0.3,Viable tumour cell
-12.5107,-7.70849,0.574259421558083,0.5,0.3,Viable tumour cell
-0.108794,-1.43315,0.2572866952435917,0.5,0.3,Necrotic
0.903318,-0.205898,0.2598019468977504,0.5,0.3,Necrotic
-0.216014,1.05433,0.26264213650893453,0.5,0.3,Necrotic
-0.835311,0.491391,0.261612601858713,0.5,0.3,Necrotic
9.17754,-11.7742,0.5349652916190182,0.5,0.3,Viable tumour cell
-2.36509,-0.754561,0.2589587415550825,0.5,0.3,Necrotic
