x,y
18.025875,1162.420875
61.05845454545455,1318.59
105.06176470588235,1331.4568235294116
160.524,1357.839
188.5275,1002.1725
234.612,1307.565
246.3048,1092.1176
358.7186842105263,1209.8254736842105
499.46400000000006,1304.919
502.803,385.37100000000004
566.433,721.665
575.3693076923076,721.1706923076923
651.0298064516129,1374.8388387096775
683.8629677419354,559.1168709677419
717.6367058823529,140.78276470588236
726.2732195121952,1151.8704878048782
726.4287692307693,921.282923076923
850.3392413793104,1072.1470344827585
855.3636,1302.7581
875.0477647058824,1109.1928235294117
1012.0374782608696,324.576
1261.26,836.9378181818182
1398.6000000000001,794.241
1449.3514,1446.6368
1454.607,1437.093
1462.2133235294118,1442.5888235294117
1478.782064516129,1437.1763225806453
1481.5784117647058,1172.6449411764706
