x,y,PanCK+,CAIX+,Pimo+,Necrosis,Celltype
80.42,3795.38,1,0,0,0,CD8
83.97,899.99,1,0,1,0,CD8
86.43,2764.62,0,0,0,0,CD8
86.60,3671.74,1,0,0,0,CD8
82.65,44.73,0,1,1,0,CD8
84.83,3469.29,0,0,0,0,CD8
84.95,2484.05,0,0,0,0,CD8
88.53,2708.88,0,0,0,0,CD8
86.25,2859.50,0,0,0,0,CD8
85.38,3645.65,1,0,0,0,CD8
88.02,3340.22,1,0,0,0,CD8
88.71,558.59,0,0,0,0,CD8
88.23,1173.27,0,0,1,1,CD8
92.35,1370.75,1,0,0,1,CD8
88.48,2063.03,1,0,0,0,CD8
87.99,2192.92,0,0,0,0,CD8
89.52,2724.95,0,0,0,0,CD8
87.90,3484.33,1,0,0,0,CD8
90.63,3435.82,0,0,0,0,CD8
93.10,2673.40,0,0,0,0,CD8
91.12,3392.85,1,0,0,0,CD8
92.45,3572.18,1,0,0,0,CD8
93.03,4019.18,1,0,0,1,CD8
94.26,2116.99,1,0,0,0,CD8
95.83,2257.88,0,0,0,0,CD8
95.29,3616.67,1,0,0,0,CD8
102.99,2745.47,0,0,0,0,CD8
97.42,1080.94,1,0,1,0,CD8
103.22,2177.82,0,0,0,0,CD8
100.20,2200.03,0,0,0,0,CD8
100.41,2762.42,0,0,0,0,CD8
106.83,505.21,0,0,0,0,CD8
100.87,828.07,1,0,0,0,CD8
97.85,2513.65,0,0,0,0,CD8
99.96,2788.06,1,0,0,0,CD8
103.87,2826.38,0,0,0,0,CD8
101.54,3425.78,0,0,0,0,CD8
102.12,2146.83,0,0,0,0,CD8
100.65,3723.69,1,0,0,0,CD8
103.13,247.78,0,0,0,0,CD8
111.15,2288.93,0,0,0,0,CD8
103.25,2799.85,0,0,0,0,CD8
103.60,3445.87,0,0,0,0,CD8
103.37,3698.30,1,0,0,0,CD8
103.65,2063.00,1,0,0,0,CD8
108.79,2705.84,0,0,0,0,CD8
103.01,2726.88,0,0,0,0,CD8
106.54,112.75,0,1,0,0,CD8
108.57,616.65,0,0,0,0,CD8
107.20,890.06,1,0,1,0,CD8
106.04,1200.49,1,0,1,0,CD8
108.20,2778.40,0,0,0,0,CD8
106.97,3663.15,1,0,0,0,CD8
107.89,3520.86,1,0,0,0,CD8
111.17,447.22,0,0,0,0,CD8
107.63,594.15,0,0,0,0,CD8
110.67,657.88,1,0,0,0,CD8
