x,y,PanCK+,CAIX+,Pimo+,Necrosis,Celltype
128.03,1087.94,1,0,0,0,CD8
127.29,1998.79,1,1,0,0,CD8
128.92,2824.75,1,0,0,0,CD8
129.50,545.00,0,0,0,0,CD8
129.76,832.48,0,0,0,0,CD8
134.56,582.08,0,0,0,0,CD8
131.26,765.12,0,0,0,0,CD8
132.77,784.61,0,0,0,0,CD8
134.48,1514.40,1,0,0,0,CD8
137.31,4335.77,1,0,0,0,CD8
139.18,682.97,0,0,0,0,CD8
140.84,3077.55,1,0,0,0,CD8
144.69,700.76,0,0,0,0,CD8
143.67,719.48,0,0,0,0,CD8
141.70,2183.00,0,0,0,0,CD8
144.79,4032.67,1,0,0,0,CD8
144.97,958.19,0,0,0,0,CD8
148.27,935.47,0,0,0,0,CD8
146.79,990.12,0,0,0,0,CD8
147.53,1659.61,1,0,0,0,CD8
149.56,2058.40,1,0,0,0,CD8
145.09,592.47,1,0,0,0,CD8
148.42,771.63,0,0,0,0,CD8
152.39,645.58,0,0,0,0,CD8
156.24,1497.64,1,0,0,0,CD8
154.01,573.05,0,0,0,0,CD8
153.64,1785.57,1,0,0,0,CD8
156.24,3931.29,0,0,0,0,CD8
160.76,1843.62,1,0,0,0,CD8
161.06,3328.87,1,0,0,0,CD8
157.58,4039.72,1,0,0,0,CD8
160.96,708.73,0,0,0,0,CD8
160.74,725.04,0,0,0,0,CD8
160.42,3054.33,1,0,0,0,CD8
162.25,2039.97,1,1,0,0,CD8
159.52,1657.72,1,0,0,0,CD8
165.41,944.92,0,0,0,0,CD8
165.69,1896.27,1,0,0,0,CD8
163.99,533.88,0,1,0,0,CD8
164.70,847.21,0,0,0,0,CD8
166.85,3228.21,1,0,0,0,CD8
163.22,1155.48,1,0,0,0,CD8
168.82,3963.96,0,0,0,0,CD8
173.26,130.96,1,0,1,0,CD8
167.67,662.97,0,0,0,0,CD8
172.10,933.89,0,0,0,0,CD8
170.10,1381.69,1,0,0,0,CD8
174.32,1645.98,0,0,0,0,CD8
170.51,1952.88,0,0,0,0,CD8
174.80,2207.97,0,0,0,0,CD8
172.20,3343.23,1,0,0,0,CD8
175.29,1136.76,1,0,0,0,CD8
173.58,2228.22,0,0,0,0,CD8
172.32,2061.19,1,0,1,0,CD8
175.08,294.27,1,0,0,0,CD8
174.94,1913.09,1,0,0,0,CD8
179.94,548.78,0,1,0,0,CD8
183.34,903.74,0,0,0,0,CD8
180.63,2195.82,0,0,0,0,CD8
175.92,2242.56,0,0,0,0,CD8
180.82,2843.46,1,0,0,0,CD8
183.07,4038.15,1,0,0,0,CD8
187.56,776.67,1,0,0,0,CD8
180.69,2671.13,1,0,1,0,CD8
185.90,963.81,0,0,0,0,CD8
187.17,4392.76,1,0,0,0,CD8
186.08,418.95,1,0,0,0,CD8
186.78,450.65,1,0,0,0,CD8
190.31,1536.08,1,0,0,0,CD8
186.46,1717.92,1,0,1,0,CD8
189.57,1848.74,1,0,0,0,CD8
192.62,2043.27,1,0,0,0,CD8
187.13,2317.54,0,0,0,0,CD8
186.98,2265.10,0,0,0,0,CD8
196.75,472.94,1,0,0,0,CD8
188.04,1969.58,1,0,0,0,CD8
193.00,2677.51,1,0,1,0,CD8
191.34,722.64,0,0,0,0,CD8
194.62,1649.73,1,0,0,0,CD8
190.91,2925.49,1,0,0,0,CD8
194.81,2228.48,0,0,0,0,CD8
198.53,1125.00,0,0,0,0,CD8
198.58,4401.73,1,0,0,0,CD8
198.69,1867.34,1,0,0,0,CD8
200.53,3374.12,1,0,0,0,CD8
202.52,365.38,1,0,0,0,CD8
201.45,403.58,1,0,0,0,CD8
204.33,913.63,0,0,0,0,CD8
204.84,1348.81,1,0,0,0,CD8
205.04,1897.19,1,0,0,0,CD8
209.63,352.19,1,0,0,0,CD8
205.83,1035.54,0,0,0,0,CD8
207.30,50.89,1,1,1,0,CD8
214.60,531.55,1,0,0,0,CD8
209.51,2226.39,1,0,0,0,CD8
211.43,826.38,1,0,0,0,CD8
207.13,2347.63,0,0,0,0,CD8
208.75,737.78,0,0,0,0,CD8
211.80,1588.27,1,0,0,0,CD8
211.75,1758.98,1,0,0,0,CD8
210.26,1884.87,1,0,0,0,CD8
210.88,3927.35,0,0,0,0,CD8
215.63,3039.25,1,0,0,0,CD8
214.58,143.12,1,0,1,0,CD8
210.80,808.32,0,0,0,0,CD8
215.47,978.86,0,0,0,0,CD8
216.80,788.26,0,0,0,0,CD8
216.47,3993.95,1,0,0,0,CD8
217.95,483.80,0,0,0,0,CD8
218.70,1977.23,0,0,0,0,CD8
217.16,2310.23,0,0,0,0,CD8
216.56,3943.54,1,0,0,0,CD8
222.94,327.45,1,0,0,0,CD8
222.37,1582.53,1,0,0,0,CD8
224.72,2577.72,1,0,0,0,CD8
223.65,398.87,1,0,0,0,CD8
226.80,4348.62,1,0,0,0,CD8
228.35,254.47,1,0,0,0,CD8
