x,y
4.318885449,442.6625387
7.341176471,535.7235294
39.77517709,537.2928857
34.76867151,509.4745539
55.17874553,527.920052
71.81492109,501.3773314
71.63214582,513.019884
89.23392613,498.0437756
101.7867647,451.2058824
102.5386997,513.8486842
105.9106335,484.5475113
112.802521,409.5441176
116.6934046,497.5579323
121.2451897,382.7515118
156.3685121,405.0207612
158.1057946,458.046532
171.8926662,510.0744843
178.5557016,450.3351955
177.3709484,477.8211285
187.0855615,602.5222816
192.2920892,440.4340771
194.9057027,456.7557252
217.5210084,401.7121849
225.1611253,413.5780051
233.2324796,421.01745
269.6817083,449.4238517
275.0669773,430.1514269
299.6405229,405.4901961
299.1176471,620.8455882
300.2962645,333.3361958
312.6271385,680.1464729
320.0245098,409.9054622
366.7449095,229.530543
376.8638467,408.9309319
378.0140552,214.4429984
398.4917647,673.92
406.3627451,581.8823529
426.0128083,621.5180266
432.2964706,330.0352941
439.6620776,646.9305382
515.4970116,324.215162
548.6211073,502.4636678
575.1342488,488.4638246
585.6601307,506.2679739
586.9101487,531.7630899
586.2752757,60.08616728
588.7612709,445.5045084
600.5384615,478.6877828
599.0396158,502.3289316
598.1796502,566.1287758
613.3031674,487.4406109
632.4460595,497.0951624
631.9985826,483.0474841
638.9522848,760.7927291
649.5978391,479.3277311
647.1201862,489.997884
659.9682353,766.38
659.0829088,496.2992126
662.6696833,149.9547511
664.5823529,464.5294118
665.3979239,477.1388408
674.4561359,503.5420892
675.0500119,210.1964754
675.2163624,486.2373225
676.0875513,459.493844
677.6009658,531.1731782
681.1522301,317.0410472
686.4333057,465.5219553
690.6292477,478.5762831
689.7235023,508.6215777
692.5668449,494.5365419
702.4379385,463.0733945
708.1150274,485.0190522
705.2478519,511.7250496
720.7933762,272.3652991
720.9625668,286.9090909
730.2004885,545.7490332
736.2625538,461.3055954
765.88812,326.2918108
767.3597811,551.5834473
774.4238933,253.3262583
777.6923077,269.2986425
788.3291615,280.0563204
788.4216657,218.1508445
791.3064295,248.9004788
793.3246463,520.5770663
817.6993778,247.6866516
829.2482252,559.5486815
831.5082353,322.7505882
845.9007353,475.6875
848.0432669,27.06125425
857.5182197,528.1155648
869.2094118,243.96
892.1875,709.3795956
893.7007673,351.5754476
895.9477124,369.8474946
896.8512111,681.8540946
900.0171887,10.63407181
897.7367896,27.4775673
900.5568949,533.1364513
909.0464896,42.16318786
918.2421341,360.3201094
925.7662207,8.414541782
942.2982821,546.887038
946.4164087,4.719427245
957.6418989,56.8369453
957.0570301,646.8292683
969.3464052,651.7156863
977.6133812,33.36775932
991.0459352,182.5528751
992.5909091,646.0106952
1026.626651,159.7644058
1033.776261,392.085084
1039.217647,124.5176471
1061.228948,423.719795
1071.436342,570.012087
1082.816953,393.3211545
1095.528386,350.0427497
1100.873573,677.0632133
1117.789047,391.6516952
1129.920415,382.5882353
1137.296987,215.1520803
1143.578431,237.7009804
1159.253394,247.6357466
1168.394755,443.6428065
1173.857143,267.7689076
1177.697769,642.4290061
1180.328895,744.8042528
1191.045056,712.1652065
1201.200135,207.1737661
1230.808824,852.6384083
1240.418301,42.51633987
1265.862015,766.0935544
1270.77278,291.2745098
1273.718228,662.8794481
1274.834956,83.03639441
1282.248747,679.5462939
1280.154799,764.1007599
1305.299885,884.8558247
1305.33269,673.3076181
1320.04104,1064.897401
1330.497738,379.7737557
1334.316292,75.95164767
1344.78733,1093.764706
1351.574198,878.6931818
1371.802019,38.59964881
1383.166575,591.0115448
1390.29638,675.6040724
1417.66502,797.2092501
1428.852224,786.3572453
1426.082888,1248.964859
1448.547205,925.9305003
1455.707014,543.4785068
1463.382353,394.8619448
1465.961538,685.0282805
1468.621324,657.8216912
1474.619608,1110.913725
1477.62707,768.0182753
1477.149321,943.1561086
1488.826675,1162.058824
1489.177671,396.6086435
1487.996867,1105.515141
1491.841737,940.3711485
