x,y
19.377272727272725,262.4529090909091
36.8856923076923,87.92861538461538
54.35325,67.6935
70.87317391304347,1191.0067826086956
75.2052,399.8008
87.0534,1189.4651999999999
96.3585,137.0187
102.59052631578948,1260.4244210526315
248.61319597989953,724.2328040201005
258.0988064516129,929.3434838709678
280.0505647058823,1162.424117647059
284.2372561983471,1216.2852892561982
289.26814736842107,852.3276631578948
288.78818181818184,360.36381818181815
304.26059999999995,1498.2828
311.24800000000005,574.5086666666666
331.7086956521739,669.5913913043478
335.08377777777775,516.0462222222222
340.12533333333334,1421.98
344.70765,1497.65805
354.1097964071856,1184.9379520958084
386.4984827586207,247.08165517241378
424.16016494845366,396.32715463917526
430.29681081081077,267.4843783783784
459.0075,1002.87075
501.7753125,28.5823125
513.8,1017.7760000000001
535.2008971962617,1497.6854579439253
612.7695,1206.03853125
652.4764615384615,235.4600769230769
673.0204444444445,962.1422222222222
696.4137457627119,90.726406779661
701.943375,195.859125
711.034258064516,362.55890322580643
715.5805263157895,318.3091578947368
766.0000384615386,89.11592307692307
779.6717668711657,1368.0685766871168
799.0587169811321,297.8081320754717
820.9176585365853,1363.8700975609756
835.7542388059701,350.93068656716423
839.6187692307692,447.9881538461538
856.7246470588235,563.1656470588235
865.9322608695652,1276.1006086956522
874.6643414634146,1324.2692195121951
910.4004,766.3926666666667
944.3506153846154,1010.3988461538462
956.529,89.523
962.1045000000001,1283.5725
979.5916666666666,1069.7271666666668
993.5627441860464,908.6240930232558
1019.8492500000001,1360.30125
1045.53456,113.03712
1058.4397297297298,257.4963243243243
1198.7213385826772,425.58930708661416
1217.0959838709678,1410.4460322580646
1238.1130125,54.937575
1238.2949250000001,1289.958075
1290.9222162162162,1108.507135135135
1288.9170000000001,328.85999999999996
1297.097052631579,1230.5060526315788
1306.1027368421053,868.0272631578947
1336.5484999999999,771.3825
1352.5097323943662,1399.647042253521
1368.8364375,1246.6794375
1366.9797272727271,408.807
1392.2088510638298,1223.7937659574468
1405.33176,1337.91756
1413.2045454545455,473.67409090909086
1420.846875,100.30545
1429.4898947368422,1409.7377368421053
1475.5058181818183,1349.4774308300396
1476.468,177.0615
1480.945846153846,126.05815384615386
1498.2334838709678,436.61845161290324
1498.8247826086956,15.991043478260869
1499.065448275862,261.9235862068966
